id,artifactName,artifactName_Chinese,country,relicTime,relicTime_chinese,material,material_Chinese,library,library_Chinese,size,size_Chinese,description,description_Chinese,moreUrl,imageUrl,order_time
1,鹰纹玉圭,鹰纹玉圭,中国,新石器时代,新石器时代,玉,玉,山西博物馆,山西博物馆,长21厘米，宽4厘米，厚0.1厘米,长21厘米，宽4厘米，厚0.1厘米,"1971年侯马市煤灰制品厂祭祀坑出土,上下两端磨薄出刃。中部阴刻一展翅的鹰形图案，其下阴刻两组六道横线，再下有一圆穿。","1971年侯马市煤灰制品厂祭祀坑出土,上下两端磨薄出刃。中部阴刻一展翅的鹰形图案，其下阴刻两组六道横线，再下有一圆穿。",https://www.shanximuseum.com/cms/a/722.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/10/s5c0e36caa4171.jpg,1
2,玉神面,玉神面,中国,新石器时代,新石器时代,玉,玉,山西博物馆,山西博物馆,高3.5厘米，宽6.5厘米。,高3.5厘米，宽6.5厘米。,2002年襄汾县陶寺遗址出土。扁平体，整体大致呈倒三角形，系一抽象的神人形象。顶部轮廓戴有冠，两侧伸出并上弯，似一种翼状的发式。双眼镂空，似半睁半合，下部三角处钻圆孔一个，似神人之嘴，又可以作为一个穿孔。玉质润泽，造型凝炼，神态安详神秘，应是祭祀神的礼器。体现了墓主人尊贵的身份。,2002年襄汾县陶寺遗址出土。扁平体，整体大致呈倒三角形，系一抽象的神人形象。顶部轮廓戴有冠，两侧伸出并上弯，似一种翼状的发式。双眼镂空，似半睁半合，下部三角处钻圆孔一个，似神人之嘴，又可以作为一个穿孔。玉质润泽，造型凝炼，神态安详神秘，应是祭祀神的礼器。体现了墓主人尊贵的身份。,https://www.shanximuseum.com/cms/a/694.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/17/s5c1751a44a99d.jpg,2
3,玉琮,玉琮,中国,新石器时代,新石器时代,玉,玉,山西博物馆,山西博物馆,高1.4厘米，边长7厘米。,高1.4厘米，边长7厘米。,襄汾县陶寺村出土。玉琮是用作祭祀天地鬼神的灵物，象征着神权，带着神秘的色彩。,襄汾县陶寺村出土。玉琮是用作祭祀天地鬼神的灵物，象征着神权，带着神秘的色彩。,https://www.shanximuseum.com/cms/a/703.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/18/s5c18aaed7e1d0.jpg,3
4,神面纹玉戚,神面纹玉戚,中国,新石器时代,新石器时代,玉,玉,山西博物馆,山西博物馆,高20.6厘米，宽13.1厘米，厚0.4厘米。,高20.6厘米，宽13.1厘米，厚0.4厘米。,1964年黎城县后庄村广志山出土。线刻，一侧为神人半侧面头像，头戴冠饰，披拂长发，眼眉清晰可辨；一侧为一方形台座上置神人冠饰的形象，神秘威严。玉戚象征军事统帅权力。,1964年黎城县后庄村广志山出土。线刻，一侧为神人半侧面头像，头戴冠饰，披拂长发，眼眉清晰可辨；一侧为一方形台座上置神人冠饰的形象，神秘威严。玉戚象征军事统帅权力。,https://www.shanximuseum.com/cms/a/702.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/10/s5c0e27bacb12c.jpg,4
5,石磨盘、棒,石磨盘、棒,中国,新石器时代,新石器时代,石,石,山西博物馆,山西博物馆,,,古人会对采集来的植物种籽、根茎等进行一些加工。石磨盘与石磨棒配套使用，可能用于研磨植物种籽、根茎。,古人会对采集来的植物种籽、根茎等进行一些加工。石磨盘与石磨棒配套使用，可能用于研磨植物种籽、根茎。,https://www.shanximuseum.com/cms/a/9350.html,https://www.shanximuseum.com/uploads/20240304/cfc0e6da27e0f4bce5d7fe30301b7c48.jpg,5
6,三棱大尖状器,三棱大尖状器,中国,新石器时代,新石器时代,石,石,山西博物馆,山西博物馆,,,"采集于西侯度人圪塔6053地点含动物化石和石器的地层附近，虽已脱离原生地层，但推测其可能来自相同的文化层。原料为石英岩(或二长斑岩)，原为一个呈三面和三缘的尖形砾石，尖端有清楚的人工打击痕迹。加工后的尖端，相当对称，亦为三棱形;重1365克;右侧有一个大的石片疤，左侧有两个大石片疤，使尖端突出，显然使用部分在尖端。,这类三棱大尖状器是中国旧石器时代的一种传统性工具，在蓝田县公王岭相当于含蓝田人头骨化石和石器的一套古土壤剖面之下紧接着的另一套古土壤剖面粘土中曾发现过;此外在匼河、丁村等遗址都有发现;甚至在属于新石器时代早期的鹅毛口遗址也有相同类型的石器存在。","采集于西侯度人圪塔6053地点含动物化石和石器的地层附近，虽已脱离原生地层，但推测其可能来自相同的文化层。原料为石英岩(或二长斑岩)，原为一个呈三面和三缘的尖形砾石，尖端有清楚的人工打击痕迹。加工后的尖端，相当对称，亦为三棱形;重1365克;右侧有一个大的石片疤，左侧有两个大石片疤，使尖端突出，显然使用部分在尖端。,这类三棱大尖状器是中国旧石器时代的一种传统性工具，在蓝田县公王岭相当于含蓝田人头骨化石和石器的一套古土壤剖面之下紧接着的另一套古土壤剖面粘土中曾发现过;此外在匼河、丁村等遗址都有发现;甚至在属于新石器时代早期的鹅毛口遗址也有相同类型的石器存在。",https://www.shanximuseum.com/cms/a/9352.html,https://www.shanximuseum.com/uploads/20240304/62552f9638260727faf882212e3d0e4a.jpg,6
7,彩陶盆,彩陶盆,中国,新石器时代,新石器时代,陶,陶,山西博物馆,山西博物馆,高23.6厘米，口径35.3厘米。,高23.6厘米，口径35.3厘米。,1977年方山县峪口村采集。泥质红陶，口沿及腹部用黑彩绘以圆点、直线、三角等组成的图案。是仰韶文化庙底沟类型的典型器物。,1977年方山县峪口村采集。泥质红陶，口沿及腹部用黑彩绘以圆点、直线、三角等组成的图案。是仰韶文化庙底沟类型的典型器物。,https://www.shanximuseum.com/cms/a/614.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/15/s5c14d45423a6c.png,7
8,弧腹平底彩陶罐,弧腹平底彩陶罐,中国,新石器时代,新石器时代,陶,陶,山西博物馆,山西博物馆,高21.1厘米，口径14.7厘米，底径10厘米。,高21.1厘米，口径14.7厘米，底径10厘米。,泥质红陶，侈口，束颈广肩。下腹内收，小平底。口沿内壁绘黑彩宽条纹，唇边绘一道黑彩。肩部和腹部有四组黑彩花卉纹饰，下腹未经磨压，显得粗糙。,泥质红陶，侈口，束颈广肩。下腹内收，小平底。口沿内壁绘黑彩宽条纹，唇边绘一道黑彩。肩部和腹部有四组黑彩花卉纹饰，下腹未经磨压，显得粗糙。,https://www.shanximuseum.com/cms/a/645.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/07/s5c0a3662452a3.jpg,8
9,彩陶罐,彩陶罐,中国,新石器时代,新石器时代,陶,陶,山西博物馆,山西博物馆,高45厘米，口径35厘米，腹径43厘米，底15.6厘米。,高45厘米，口径35厘米，腹径43厘米，底15.6厘米。,1989年芮城县金胜庄村出土。泥质红陶，器表磨光。侈口，圆唇，短颈，宽肩，上腹突出，下腹内收，小平底，上腹部以黑彩绘以弧线和圆点等组成的花卉图案。体型硕大，器形完整无缺。属仰韶文化庙底沟类型的典型遗物。,1989年芮城县金胜庄村出土。泥质红陶，器表磨光。侈口，圆唇，短颈，宽肩，上腹突出，下腹内收，小平底，上腹部以黑彩绘以弧线和圆点等组成的花卉图案。体型硕大，器形完整无缺。属仰韶文化庙底沟类型的典型遗物。,https://www.shanximuseum.com/cms/a/654.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/07/s5c0a42488977b.jpg,9
10,彩绘蟠龙盘,彩绘蟠龙盘,中国,新石器时代,新石器时代,陶,陶,山西博物馆,山西博物馆,口径40.5厘米，高8.8厘米。,口径40.5厘米，高8.8厘米。,1984年襄汾县陶寺遗址出土。泥质黄陶，敞口，折腹，平底。内壁磨光，涂褐色陶衣，在其上以红、白彩绘制蟠龙图案。头在外圈，圆眼，头两侧突出如耳似鳍，张口露齿，长信外吐如麦穗。身向内卷，尾部在盘底中心，周身饰双排鳞纹。该龙形实际以蛇为原型，综合了许多动物的特征为一体，表现出沉稳、神秘与威严，颇具礼器性质，是一件珍贵的艺术品。属庙底沟二期文化遗物。,1984年襄汾县陶寺遗址出土。泥质黄陶，敞口，折腹，平底。内壁磨光，涂褐色陶衣，在其上以红、白彩绘制蟠龙图案。头在外圈，圆眼，头两侧突出如耳似鳍，张口露齿，长信外吐如麦穗。身向内卷，尾部在盘底中心，周身饰双排鳞纹。该龙形实际以蛇为原型，综合了许多动物的特征为一体，表现出沉稳、神秘与威严，颇具礼器性质，是一件珍贵的艺术品。属庙底沟二期文化遗物。,https://www.shanximuseum.com/cms/a/673.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/10/s5c0df618b5db9.jpg,10
