artifact_name,artifact_country,artifact_library,artifact_time,artifact_size,artifact_category,artifact_image,artifact_url,artifact_description
国画《马》,中国,湖北博物馆,,尺寸：137*69 cm,工艺美术精品,https://img.cjyun.org.cn/a/10695/202311/9d2e0b29b516302016b89ec092ce504e.jpg,http://hbsbwg.cjyun.org/gymsjp/p/9368.html,作者：韩美林 尺寸：137*69 cm 材质：宣纸 年代：2002年
平面微雕：《孙子兵法链刀》,中国,湖北博物馆,,尺寸：52x14mm,工艺美术精品,https://img.cjyun.org.cn/a/10695/202311/9d8f47dec0417a83f922176d5bd05936.png,http://hbsbwg.cjyun.org/gymsjp/p/9367.html,作者：仵峰 尺寸：52x14mm（微雕） 材质：猛犸牙片、翡翠 形制：片状 主要特征： 该作品微雕部分采用猛犸牙片，猛犸牙片的密度约1.90克/立方厘米，摩式硬度在2.5左右，易于下刀。猛犸牙片属于有机材料，吸水性强，容易受湿度等因素的影响吸收或释放水分，因此可以上色，但后期保养时，要精心呵护，远离风口、不能见水和温差过大、保存环境要湿度适宜，防霉防虫。稍有不慎，就会变形、开裂、变色。该作品将微雕镶嵌在玉石上，内容形式完美统一。 作品说明：古人造兵法用于止兵，此作品以此为思，用翡翠制作仿古礼器玉刀，以链锁兽，意在锁兵，在链刀上镶以微雕《孙子兵法》十三篇计六千余字，意在古人早知兵之祸，止戈避祸方是上策。 获奖情况：此作品未曾参加过展评，第二件仵峰自己仿此作的白玉《孙子兵法》链刀荣获2015年中国工艺美术“百花奖”金奖。
微雕：《八仙炉》,中国,湖北博物馆,,尺寸：12*6.5mm,工艺美术精品,https://img.cjyun.org/a/10695/202311/2354d84e5f1cbf28558acc89cd9dd73f.png,http://hbsbwg.cjyun.org/gymsjp/p/9366.html,作者：常世琪、仵峰 尺寸：12*6.5mm 材质：猛犸牙片、翡翠 形制：片状 主要特征：该作品属于软派平面微雕，在密度约1.90克/立方厘米，摩式硬度在2.5左右的猛犸牙片上雕刻，猛犸牙片属于有机材料，吸水性强，容易受湿度等因素的影响吸收或释放水分，因此可以上色，但后期保养时，要精心呵护，远离风口、不能见水和温差过大、保存环境要湿度适宜，防霉防虫。稍有不慎，就会变形、开裂、变色。 作品说明：香炉是道家代表性器物，配以道家代表性传说八仙故事进行微雕创作，相得益彰，此作品也是微雕与玉雕相结合的有益尝试。 获奖情况：荣获2007年第八届中国艺术节全国工艺美术精粹展金奖。
紫砂壶《问天问地》,中国,湖北博物馆,,,工艺美术精品,https://img.cjyun.org.cn/a/10695/202311/f56ee53aafc7c4060b7f9721d9941c3d.png,http://hbsbwg.cjyun.org/gymsjp/p/9370.html,《问天问地》作品是用生活中的人生在事业上的转折时段作为题材创作的作品，创作的时间于二OO六年冬天，作品造型在圆型上用阴刻数字问号及感叹号倒置粉饰色差工艺完成作品，作品用江苏宜兴丁蜀黄龙山紫砂料制作。问天问地获得二O一三“国信·百花杯”中国工艺美术精品奖银奖。
紫砂壶《楚风汉韵》,中国,湖北博物馆,,,工艺美术精品,https://img.cjyun.org.cn/a/10695/202311/e96085b2399305f09e580705ce954782.png,http://hbsbwg.cjyun.org/gymsjp/p/9371.html,《楚风汉韵》紫砂作品创作于二O一三年春，用梅花与牡丹花为贴塑工艺附在方型紫砂壶体来烘托作品的主题，牡丹花源于河南洛阳，梅花是武汉市市花，两花相合呼应岀楚风汉韵深厚韵味。此作品的创作为湖北非物质文化遗产项目到俄罗斯进行中国文化交流的创作品种。
国画《铁骨生春》,中国,湖北博物馆,,尺寸：243*124 cm,工艺美术精品,https://img.cjyun.org.cn/a/10695/202311/cceb9fc1806e6fc0ea6c3996955c7294.jpeg,http://hbsbwg.cjyun.org/gymsjp/p/9369.html,作者：何忠群 尺寸：243*124 cm 材质：宣纸 年代：2009年
紫砂《始祖壶》,中国,湖北博物馆,,,工艺美术精品,https://img.cjyun.org/a/10695/202311/200cb8a2d927be9ba19b059b8cf69e56.png,http://hbsbwg.cjyun.org/gymsjp/p/9373.html,《始祖紫砂壶》作品的创作题材起源于人类进化论以动物猿做附件烘托主题，此作品用紫砂雕塑工艺创作的造型，作品于二O一O春，作品取材于江苏宜兴丁蜀黄龙紫砂料，该作品在二O一二年春获中国工艺美术 “百花奖”金奖。
报春（20.5cm*15cm*7cm）,中国,湖北博物馆,,20.5cm*15cm*7cm,工艺美术精品,https://img.cjyun.org.cn/a/10695/202311/e97060fe2b0693300470156eef69daca.jpeg,http://hbsbwg.cjyun.org/gymsjp/p/9374.html,作者:焦明辉  楚卫东 材质:璞玉 年代:2013年 形制:玉雕摆件 纹饰:场景，人物 主要特征:作品系用湖北长江三峡地区独有的璞玉原材料，雕刻出一幅过年时小朋友在雪地里燃放鞭炮的场景，作者巧妙运用俏雕的手法，把玉料上白色的部分雕刻成树干上的积雪或屋檐下的冰棱，营造出一幅“瑞雪兆丰年”的祥和景像。 获奖情况:2013年获“百花杯中国工艺美术精品奖”铜奖，2014年获“中国工艺美术百花奖”铜奖。
逗（12.5cm*8cm*7cm）,中国,湖北博物馆,,12.5cm*8cm*7cm,工艺美术精品,https://img.cjyun.org.cn/a/10695/202311/4b798e44c63c6603f007c4dc262c89f5.jpeg,http://hbsbwg.cjyun.org/gymsjp/p/9377.html,作者:焦明辉 材质:翡翠 年代:2008年 形制:玉雕花卉摆件 纹饰:花草、鸟虫 主要特征:作品采用天然翡翠精心雕刻出两只螳螂在牵牛花藤上相互争斗的场景，两只螳螂造型生动有趣，肢体动作协调自然，足齿和触须皆清晰可见，雕刻工艺极为细致。
国画《但识琴中趣》,中国,湖北博物馆,,尺寸：68*68 cm,工艺美术精品,https://img.cjyun.org.cn/a/10695/202311/37b7ba2219560491674b04d609451358.jpeg,http://hbsbwg.cjyun.org/gymsjp/p/9379.html,作者：李孟 尺寸：68*68 cm 材质：宣纸 年代：2022年 画面刻画了三位老者品乐论道，体悟人生，并写出了三位老者皆具有高深的修养，在一起讨论、冥思、向往自由、追求高品质的生活。作品通过传统的笔墨语言来表现，线条流畅俐落，勾勒精确，画中人物神情潇洒悠雅，环境，气氛静谧清幽，思想深邃，塑造的艺术形象表现了高士品格中洒脱高雅的一面，具有自身的审美价值，同时又有其独立的艺术特色。此作品侧重于一种古典情调的再现，反映出艺术家笔下独特的人物画风。
