id,artifactName,artifactName_chinese,country,relicTime,relicTime_chinese,material,material_chinese,library,library_chinese,size,size_chinese,description,description_chinese,moreUrl,imageUrl
1,凤鸟纹提梁卣,凤鸟纹提梁卣,中国,西周,西周,铜,铜,山西博物馆,山西博物馆,通高23.5厘米，腹径16厘米,通高23.5厘米，腹径16厘米,"2006年绛县横水墓地出土,器盖和器身以子母口扣合，盖和内底均铸有“作宝尊彝”四字铭文。双兽头提梁，梁山饰四组变形兽纹，以方形突起分割。盖为椭圆形，盖面有圈形捉手，饰两组相对凤鸟纹，盖沿饰波曲纹。鼓腹下垂，圈足，器身饰三组纹饰，通体均以云雷纹衬底。","2006年绛县横水墓地出土,器盖和器身以子母口扣合，盖和内底均铸有“作宝尊彝”四字铭文。双兽头提梁，梁山饰四组变形兽纹，以方形突起分割。盖为椭圆形，盖面有圈形捉手，饰两组相对凤鸟纹，盖沿饰波曲纹。鼓腹下垂，圈足，器身饰三组纹饰，通体均以云雷纹衬底。",https://www.shanximuseum.com/cms/a/944.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/12/s5c10c5008ebd9_344_344_0_85.jpg
2,散虺纹簠,散虺纹簠,中国,春秋,春秋,铜,铜,山西博物馆,山西博物馆,高19厘米，口径36厘米,高19厘米，口径36厘米,"1988年太原市金胜村赵卿墓出土,盛稻粱之器。两件器物形制、大小、纹样相同。此图为其中之一。盖、器基本相同，上下对合成一体，盖、器均作长方矩形，平口，直壁，下腹壁斜折，平底。在盖、器的两短边各设一对兽面铺首环形耳，下承四个曲形蹼形足。腹壁和足壁饰“C”形蟠虺纹。","1988年太原市金胜村赵卿墓出土,盛稻粱之器。两件器物形制、大小、纹样相同。此图为其中之一。盖、器基本相同，上下对合成一体，盖、器均作长方矩形，平口，直壁，下腹壁斜折，平底。在盖、器的两短边各设一对兽面铺首环形耳，下承四个曲形蹼形足。腹壁和足壁饰“C”形蟠虺纹。",https://www.shanximuseum.com/cms/a/941.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/12/s5c10b327d75ca.jpg
3,兽面纹方彝 ,兽面纹方彝 ,中国,西周,西周,铜,铜,山西博物馆,山西博物馆,高37厘米，口长22厘米，口宽15.8厘米,高37厘米，口长22厘米，口宽15.8厘米,"2006年绛县横水墓地出土,长方体，盖和盖钮均作四坡式屋顶形，侈口，束颈，腹微曲。花纹浮雕。盖和腹的四面饰双龙组成的内卷角大兽面，阔口獠牙，巨睛利爪。口沿下饰双体龙纹。方圈足饰长冠垂尾凤鸟。自盖至足的四隅皆有扉棱。颇显凝重大方。此为倗国铜器。","2006年绛县横水墓地出土,长方体，盖和盖钮均作四坡式屋顶形，侈口，束颈，腹微曲。花纹浮雕。盖和腹的四面饰双龙组成的内卷角大兽面，阔口獠牙，巨睛利爪。口沿下饰双体龙纹。方圈足饰长冠垂尾凤鸟。自盖至足的四隅皆有扉棱。颇显凝重大方。此为倗国铜器。",https://www.shanximuseum.com/cms/a/947.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/12/s5c10b55ebc811_344_344_0_72.jpg
4,兽形觥 ,兽形觥 ,中国,西周,西周,铜,铜,山西博物馆,山西博物馆,高29厘米，长30.5厘米,高29厘米，长30.5厘米,"2006年绛县横水墓地出土,方体，龙头盖，腹壁微曲。龙头张口露齿，唇上饰蛇纹，盖上饰龙纹和兽面纹，口沿以下饰花冠凤鸟、长冠凤鸟和弯角龙纹。觥体四壁和圈足分别饰内卷角大兽面和长冠凤鸟，均以雷纹填地。主体花纹之上又以阴线刻花，形成三层花，豪华富丽。此为倗国铜器。","2006年绛县横水墓地出土,方体，龙头盖，腹壁微曲。龙头张口露齿，唇上饰蛇纹，盖上饰龙纹和兽面纹，口沿以下饰花冠凤鸟、长冠凤鸟和弯角龙纹。觥体四壁和圈足分别饰内卷角大兽面和长冠凤鸟，均以雷纹填地。主体花纹之上又以阴线刻花，形成三层花，豪华富丽。此为倗国铜器。",https://www.shanximuseum.com/cms/a/946.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/12/s5c10b50e37997_344_344_0_78.jpg
5,斜角云纹鼎,斜角云纹鼎,中国,战国,战国,铜,铜,山西博物馆,山西博物馆,高31.2厘米，口径33.2厘米,高31.2厘米，口径33.2厘米,"1972年山西省长治市分水岭出土,盖呈覆盘形，有三环钮，饰斜角云纹。器口外附耳，鼓腹，蹄足。口沿与腹部分饰斜角云纹带，足根饰兽面纹。","1972年山西省长治市分水岭出土,盖呈覆盘形，有三环钮，饰斜角云纹。器口外附耳，鼓腹，蹄足。口沿与腹部分饰斜角云纹带，足根饰兽面纹。",https://www.shanximuseum.com/cms/a/945.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/12/s5c10b4b870167_344_344_0_82.jpg
6,兽面纹尊 ,兽面纹尊 ,中国,西周,西周,铜,铜,山西博物馆,山西博物馆,高27.5厘米，口径27厘米,高27.5厘米，口径27厘米,"2006年绛县横水墓地出土,体方口圆，腹微鼓。四角有扉棱。花纹粗犷，无地纹。自口沿以下饰蕉叶龙纹和鸟纹，腹部饰大卷角兽面纹，圈足饰兽目交连纹。此为倗国铜器。","2006年绛县横水墓地出土,体方口圆，腹微鼓。四角有扉棱。花纹粗犷，无地纹。自口沿以下饰蕉叶龙纹和鸟纹，腹部饰大卷角兽面纹，圈足饰兽目交连纹。此为倗国铜器。",https://www.shanximuseum.com/cms/a/948.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/12/s5c10b5dc451b7_344_344_0_82.jpg
7,蟠虺纹盖豆 ,蟠虺纹盖豆 ,中国,春秋,春秋,铜,铜,山西博物馆,山西博物馆,高19.8厘米，口径16.7厘米,高19.8厘米，口径16.7厘米,"1988年太原市金胜村赵卿墓出土,盖与豆盘扣合后呈扁球形。盖呈覆碗状，圆形捉手，母口，可与豆盘子口套合，豆盘深腹，小平底，下承喇叭形矮柄圈足。豆盘两侧置环耳一对。盖面捉手饰花纹四周，由里及外，依次为三角回纹、绹索纹、勾连云纹和云头三角纹。盖和豆盘饰宽、窄蟠虺纹四周，纹样紧密，以凸弦三角纹为界纹。口沿上三周“>”纹，下腹为垂叶纹，其中用一对“S”形夔龙作填纹。环耳饰贝纹和绹索纹。纹样图案化，分节环印，接痕清晰。","1988年太原市金胜村赵卿墓出土,盖与豆盘扣合后呈扁球形。盖呈覆碗状，圆形捉手，母口，可与豆盘子口套合，豆盘深腹，小平底，下承喇叭形矮柄圈足。豆盘两侧置环耳一对。盖面捉手饰花纹四周，由里及外，依次为三角回纹、绹索纹、勾连云纹和云头三角纹。盖和豆盘饰宽、窄蟠虺纹四周，纹样紧密，以凸弦三角纹为界纹。口沿上三周“>”纹，下腹为垂叶纹，其中用一对“S”形夔龙作填纹。环耳饰贝纹和绹索纹。纹样图案化，分节环印，接痕清晰。",https://www.shanximuseum.com/cms/a/942.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/12/s5c10c91b789c2_344_344_0_86.jpg
8,方座四耳豆,方座四耳豆,中国,春秋,春秋,铜,铜,山西博物馆,山西博物馆,高17.6厘米，口径17.5厘米,高17.6厘米，口径17.5厘米,"1988年太原市金胜村赵卿墓出土,平沿，折唇，敛口，束颈，鼓腹内收，腹壁上置对称的四个环耳，圜底，喇叭形矮圈足，下承方形座。盘壁有宽、窄两周细蟠虺纹带，颈部饰粗绹索纹，环耳饰回纹和贝纹。方座上饰“S”形蟠螭纹。豆是盛放腌菜、肉酱等调味品的器具。礼器中的豆多以偶数组合使用。","1988年太原市金胜村赵卿墓出土,平沿，折唇，敛口，束颈，鼓腹内收，腹壁上置对称的四个环耳，圜底，喇叭形矮圈足，下承方形座。盘壁有宽、窄两周细蟠虺纹带，颈部饰粗绹索纹，环耳饰回纹和贝纹。方座上饰“S”形蟠螭纹。豆是盛放腌菜、肉酱等调味品的器具。礼器中的豆多以偶数组合使用。",https://www.shanximuseum.com/cms/a/943.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/12/s5c10b3eea27fc_344_344_0_89.jpg
9,张瑞图 行书七绝诗,张瑞图 行书七绝诗,中国,明,明,纸,纸,山西博物馆,山西博物馆,纸本。纵189厘米，横65.5厘米。,纸本。纵189厘米，横65.5厘米。,"写七言绝句一首：“广陵三月花正开，花庭逢君醉一回，南北相过殊不远，暮潮归去早潮来。瑞图。”钤“张长公”、“张瑞图”二印。用笔取势方折，刚劲有力，自具面貌。,张瑞图（？～1644年），字长公，号二水，福建晋江人。擅长草书，在师法钟王的基础上，另辟蹊径，用笔多方硬侧锋，风格奇宕，自成一格。","写七言绝句一首：“广陵三月花正开，花庭逢君醉一回，南北相过殊不远，暮潮归去早潮来。瑞图。”钤“张长公”、“张瑞图”二印。用笔取势方折，刚劲有力，自具面貌。,张瑞图（？～1644年），字长公，号二水，福建晋江人。擅长草书，在师法钟王的基础上，另辟蹊径，用笔多方硬侧锋，风格奇宕，自成一格。",https://www.shanximuseum.com/cms/a/868.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/14/s5c133eb1cddd3.jpg
10,陈廷敬 行书白居易《池上篇》,陈廷敬 行书白居易《池上篇》,中国,清,清,绫本,绫本,山西博物馆,山西博物馆,绫本。纵188厘米，横49厘米。,绫本。纵188厘米，横49厘米。,"释文：“十亩之宅，五亩之园。有水一池，有竹千竿。勿谓土狭，勿谓地偏。足以容膝，足以息肩。有堂有庭，有桥有船。有书有酒，有歌有弦。有叟在中，风神飘然。安分止足，外无求焉。如鸟择木，姑务巢安。如鱼在沼，不知海宽。灵鹤怪石，紫菱白莲。时饮一杯，或吟一篇。妻孥熙熙，鸡犬闲闲。优哉游哉，终老其间。 素心吾弟 兄廷敬书”。款署“石雪鉴藏”、“岁寒堂诗画印”两方藏章。,陈廷敬（1639～1710年），字子端，号涣岩，晚号午亭，山西泽州（今晋城）人。顺治十五年（1658年），官吏部尚书、文渊阁大学士、《康熙字典》总修官等职，有《午亭文编》等存世。他的诗风清雅醇厚，独树一帜，在清初能与诗坛领袖王士禛相拮抗，被封为一代文宗。他参与国家政要军机四十多年，成为康熙皇帝的股肱之臣，为康熙盛世的形成起到了重要作用。陈廷敬的书法祖述二王，是清代初期帖学功底极深的代表性书家，更是一个善于融会贯通、博采众长而又创新不足的书家。","释文：“十亩之宅，五亩之园。有水一池，有竹千竿。勿谓土狭，勿谓地偏。足以容膝，足以息肩。有堂有庭，有桥有船。有书有酒，有歌有弦。有叟在中，风神飘然。安分止足，外无求焉。如鸟择木，姑务巢安。如鱼在沼，不知海宽。灵鹤怪石，紫菱白莲。时饮一杯，或吟一篇。妻孥熙熙，鸡犬闲闲。优哉游哉，终老其间。 素心吾弟 兄廷敬书”。款署“石雪鉴藏”、“岁寒堂诗画印”两方藏章。,陈廷敬（1639～1710年），字子端，号涣岩，晚号午亭，山西泽州（今晋城）人。顺治十五年（1658年），官吏部尚书、文渊阁大学士、《康熙字典》总修官等职，有《午亭文编》等存世。他的诗风清雅醇厚，独树一帜，在清初能与诗坛领袖王士禛相拮抗，被封为一代文宗。他参与国家政要军机四十多年，成为康熙皇帝的股肱之臣，为康熙盛世的形成起到了重要作用。陈廷敬的书法祖述二王，是清代初期帖学功底极深的代表性书家，更是一个善于融会贯通、博采众长而又创新不足的书家。",https://www.shanximuseum.com/cms/a/870.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/14/s5c133ee442e5f.jpg
11,徐渭 草书咏月词,徐渭 草书咏月词,中国,明,明,纸,纸,山西博物馆,山西博物馆,纸本。纵208厘米，横79厘米。,纸本。纵208厘米，横79厘米。,"此幅书轴笔法奔放狂纵，结体纵横恣肆，诡异奇伟，但笔划沈劲，欹中寓正，为传世珍品。款署“水月”，钤“青藤道士”、“湘管斋”和“公孙大娘”三方印。,徐渭（1521～1593年），字文长，号天池、田水月、青藤老人等。山阴（今浙江绍兴）人。善写意花鸟，兼作山水、人物，行草书师米芾，奔放苍劲中见姿媚。","此幅书轴笔法奔放狂纵，结体纵横恣肆，诡异奇伟，但笔划沈劲，欹中寓正，为传世珍品。款署“水月”，钤“青藤道士”、“湘管斋”和“公孙大娘”三方印。,徐渭（1521～1593年），字文长，号天池、田水月、青藤老人等。山阴（今浙江绍兴）人。善写意花鸟，兼作山水、人物，行草书师米芾，奔放苍劲中见姿媚。",https://www.shanximuseum.com/cms/a/867.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/14/s5c133e947a591.jpg
12,伊秉绶 隶书五言联,伊秉绶 隶书五言联,中国,清,清,纸,纸,山西博物馆,山西博物馆,纸本。纵123厘米，横20厘米。,纸本。纵123厘米，横20厘米。,"文：“咏风多古意，觞月具新欢。”款“书为秋厓二世叔鉴正，嘉庆癸亥岁，世侄伊秉绶”，钤“寒玉斋”、“墨卿”、“伊秉绶印”。字体方正匀称，寓巧于拙。癸亥为1803年，作者时年四十九岁。,伊秉绶（1754～1815年），字组似，号墨卿、墨庵等，福建宁化人。工书法、篆刻、山水、墨梅，隶书最负盛名。","文：“咏风多古意，觞月具新欢。”款“书为秋厓二世叔鉴正，嘉庆癸亥岁，世侄伊秉绶”，钤“寒玉斋”、“墨卿”、“伊秉绶印”。字体方正匀称，寓巧于拙。癸亥为1803年，作者时年四十九岁。,伊秉绶（1754～1815年），字组似，号墨卿、墨庵等，福建宁化人。工书法、篆刻、山水、墨梅，隶书最负盛名。",https://www.shanximuseum.com/cms/a/872.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/14/s5c133f1fb987e.jpg
13,吴雯 行书《送徐道冲之粤东》,吴雯 行书《送徐道冲之粤东》,中国,清,清,纸,纸,山西博物馆,山西博物馆,纸本。纵140厘米，横41厘米。,纸本。纵140厘米，横41厘米。,"行书写五言诗：“腊月渔阳道，冰坚马骨寒。朔风吹海雪，一夜满桑干。之子东南下，想思正北看。雁过梅岭少，书达玉堂难。去阅珊瑚树，归贻翡翠盘。莫持鹦鹉赋，倚醉压珠官。”署“雯”，钤“吴雯之印”。,吴雯（1644～1704年），字天章，号莲洋，又号玉溪生，山西永济人。康熙十八年（1679年）召试“博学鸿儒”科，报罢，遂遍游天下，布衣终老。他一生结交文人雅士，时人甚至以能与吴雯结识为荣幸。他是清初著名诗人，诗才高妙，在当时被文坛领袖王士禛誉为“仙才”，著有《莲洋集》。吴雯亦工于书法，很得王献之神髓，他的书法，骨力独具，傲岸不屈，既有文人的飘逸，又有落拓江湖的洒脱，常被人奉为法书。","行书写五言诗：“腊月渔阳道，冰坚马骨寒。朔风吹海雪，一夜满桑干。之子东南下，想思正北看。雁过梅岭少，书达玉堂难。去阅珊瑚树，归贻翡翠盘。莫持鹦鹉赋，倚醉压珠官。”署“雯”，钤“吴雯之印”。,吴雯（1644～1704年），字天章，号莲洋，又号玉溪生，山西永济人。康熙十八年（1679年）召试“博学鸿儒”科，报罢，遂遍游天下，布衣终老。他一生结交文人雅士，时人甚至以能与吴雯结识为荣幸。他是清初著名诗人，诗才高妙，在当时被文坛领袖王士禛誉为“仙才”，著有《莲洋集》。吴雯亦工于书法，很得王献之神髓，他的书法，骨力独具，傲岸不屈，既有文人的飘逸，又有落拓江湖的洒脱，常被人奉为法书。",https://www.shanximuseum.com/cms/a/871.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/14/s5c133f00ca958.jpg
14,祝允明 草书杜甫诗,祝允明 草书杜甫诗,中国,明,明,绢本,绢本,山西博物馆,山西博物馆,绢本，纵73厘米，横32厘米。,绢本，纵73厘米，横32厘米。,"写杜甫七言诗，运笔豪纵，法度严谨，沉着痛快，一气呵成。款署“枝山居士祝允明”，钤“祝允明印”、“晞哲”两印。,祝允明（1460～1526年），字晞哲，号枝山，又署枝山老樵，苏州人。书法绵里藏针，指与心应，腕与笔应，若羲献真行，怀素狂草，尤臻笔妙，有明朝第一之称。亦能画，传世甚少。与文征明、王宠同为明中期有代表性的书法家。","写杜甫七言诗，运笔豪纵，法度严谨，沉着痛快，一气呵成。款署“枝山居士祝允明”，钤“祝允明印”、“晞哲”两印。,祝允明（1460～1526年），字晞哲，号枝山，又署枝山老樵，苏州人。书法绵里藏针，指与心应，腕与笔应，若羲献真行，怀素狂草，尤臻笔妙，有明朝第一之称。亦能画，传世甚少。与文征明、王宠同为明中期有代表性的书法家。",https://www.shanximuseum.com/cms/a/865.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/14/s5c133e646353b.jpg
15,倪元璐 草书五律诗,倪元璐 草书五律诗,中国,明,明,绫本,绫本,山西博物馆,山西博物馆,绫本。纵169厘米，横40厘米。,绫本。纵169厘米，横40厘米。,"草书五律诗：“故人隔天风，海水吹不立。聊将尘渴心，远赴山中汲。晴香芝兰生，暝翠雾露湿。惟尘鸡犬吠，幽林能径入。”署款“元璐”，钤“倪元璐印”、“太史氏”两方印。右下角钤两方藏章。,倪元璐（1593～1643年），字汝玉，号鸿宾，浙江上虞人。工诗文，善书画，行草书参以古隶，独辟蹊径，风格秀逸。","草书五律诗：“故人隔天风，海水吹不立。聊将尘渴心，远赴山中汲。晴香芝兰生，暝翠雾露湿。惟尘鸡犬吠，幽林能径入。”署款“元璐”，钤“倪元璐印”、“太史氏”两方印。右下角钤两方藏章。,倪元璐（1593～1643年），字汝玉，号鸿宾，浙江上虞人。工诗文，善书画，行草书参以古隶，独辟蹊径，风格秀逸。",https://www.shanximuseum.com/cms/a/869.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/14/s5c133ecac1456.jpg
