country,library,link,imageurl,size,artifactName,relicTime,material,description
中国,阿姆斯特丹国立博物馆,https://www.rijksmuseum.nl//en/collection/RP-F-2005-107-128,https://lh3.googleusercontent.com/YbL0qqPakXKH_IsVJVPKUGa9U84ZPGIbHMBf0zvMebr6B6d8ubDA2BrHSwXj6bhZE77CNg22SMiNKTjceGpH4X46iuJ0Pe0GuNKBF4zo=w200,gelatin silver print,Barge carrying soldiers through flooded area,1938,,
中国,阿姆斯特丹国立博物馆,https://www.rijksmuseum.nl//en/collection/RP-F-2005-107-133,,height  85 mm × width  137 mm,Joris Ivens while filming The 400 Million in China | Cameraman John Fernhout setting up a camera in China,1938,baryta paper,
中国,阿姆斯特丹国立博物馆,https://www.rijksmuseum.nl//en/collection/NG-1978-127-14082-W,,,"Acht scherven van één of verschillende schotels, gevonden bij V.O.C.-schip Witte Leeuw, mogelijk afkomstig van Zeelelie",1775 - 1800,porcelain,"Acht scherven van één of verschillende schotels, waarvan één uit twee aan elkaar gelijmde fragmenten, gevonden bij V.O.C.-schip de 'Witte Leeuw'. Dit object is 18e-eeuws en kan dus niet van de vracht van de Witte Leeuw zijn. Onduidelijk is of het object van de site komt of dat het later is vermengd, mogelijk met materiaal van de Zeelelie."
中国,阿姆斯特丹国立博物馆,https://www.rijksmuseum.nl//en/collection/RP-F-2005-107-145,,height  196 mm × width  242 mm,"John Fernhout en Joris Ivens filmen soldaten, China",1938,baryta paper,
中国,阿姆斯特丹国立博物馆,https://www.rijksmuseum.nl//en/collection/NG-1978-127-14086-W,,,"Scherven van één of verschillende kommen, gevonden bij V.O.C.-schip Witte Leeuw, mogelijk afkomstig van Zeelelie",1775 - 1800,porcelain,"Scherven van één of verschillende kommen, waarvan één uit twee aan elkaar gelijmde fragmenten, gevonden bij V.O.C.-schip de 'Witte Leeuw'. Dit object is 18e-eeuws en kan dus niet van de vracht van de Witte Leeuw zijn. Onduidelijk is of het object van de site komt of dat het later is vermengd, mogelijk met materiaal van de Zeelelie."
中国,阿姆斯特丹国立博物馆,https://www.rijksmuseum.nl//en/collection/AK-RAK-2005-1-15,https://lh3.ggpht.com/m4QGlaOGAOwBWkJV7taLFW1932JvNkriLk-fhe-63BDabK0Qp617Xcx4f4qIEUSL99FNH19c3_sNu3fZJCy-KY0rtQo=w200,height  4 cm,Bell-shaped cup from the 'Swellengrebel service' with a double crowned monogram and a border with floral scrolls,c. 1740,porcelain,"Klokvormige kop van porselein, beschilderd op het glazuur in blauw, rood, roze, groen, geel, zwart en goud. Op de buitenwand een gekroond, dubbel spiegelmonogram met 'MVA' en 'CHTD' omgeven door schelpmotieven, krulwerk en bloemtakken, de andere zijde met een lotusrank; de binnenrand met een band met bloemranken; op de bodem een bloemrozet. Kop is gebroken geweest. Europese voorstelling in emailkleuren."
中国,阿姆斯特丹国立博物馆,https://www.rijksmuseum.nl//en/collection/NG-1994-16-1,https://lh6.ggpht.com/ZrGXm6Q8DwwFHcHXfQVOV2a_XSbFeRZ-Mbh4pdYiMOpQU9DGizejOUrSwk-GVRUOdWHxnIdF4P8han34q2sfreB7qQ=w200,height  2.8 cm,Oval dish with the arms of the Van der Parra family,c. 1750 - c. 1774,porcelain,"Ovale schotel van porselein met geschulpte rand, beschilderd op het glazuur in rood, roze, groen, paars, zwart en goud. In het centrum het wapen van Petrus Albertus van de Parra (1714-1775). In het schild staat de naam ‘PA VD PARRA’ in goud en ijzerrood. Boven het wapen is een kroon afgebeeld en het dekkleed bestaat uit een draperie in paars en aan weerszijden van het wapen een engel die de bazuin blaast. Hieromheen zijn bloemtakken afgebeeld. Op de wand een band van spearheads in goud. De rand wordt begrensd met een dubbel zaagtand-motief. Wapenporselein."
中国,阿姆斯特丹国立博物馆,https://www.rijksmuseum.nl//en/collection/AK-MAK-290-E,https://lh3.googleusercontent.com/57RMblD-K1GZ3y-uVC2WjyN8qOuqVka4IbG2TB4x2t0wniWgMZ8AtXm8F8EStLNnmPVv2My6_Fn50ieXkuU9Z6R1uh4J=w200,,Schildering,1700 - 1750,paper,"Eén van twaalf landschappen, vingerschildering met opschrift van de schilder Gao Qipei (1662 - 1731(?)). Opmerking: Zie inv. nr. AK-MAK-290."
中国,阿姆斯特丹国立博物馆,https://www.rijksmuseum.nl//en/collection/RP-F-2005-107-137,,height  197 mm × width  242 mm,"Soldaten bedienen een verdekt opgesteld kanon, China",5-Apr-1938,baryta paper,
中国,阿姆斯特丹国立博物馆,https://www.rijksmuseum.nl//en/collection/AK-MAK-290-D,https://lh3.googleusercontent.com/57RMblD-K1GZ3y-uVC2WjyN8qOuqVka4IbG2TB4x2t0wniWgMZ8AtXm8F8EStLNnmPVv2My6_Fn50ieXkuU9Z6R1uh4J=w200,height  27.2 cm × width  33.2 cm,"Landscape, album page",1700 - 1750,,"Eén van twaalf landschappen, vingerschildering met opschrift van de schilder Gao Qipei (1662 - 1731(?)). Opmerking: Zie inv. nr. AK-MAK-290."
中国,阿姆斯特丹国立博物馆,https://www.rijksmuseum.nl//en/collection/AK-RAK-1994-4,https://lh3.googleusercontent.com/zUmc88v9OSYOYu9_eURdsU72QNN1I64D7bGENeTzfSjpFoa48s4rss98Yi9A_GhZTE7FqT5YC-Eu17UmtDWDZ4X85fPM-x9nbrEVMCgV=w200,height  3 cm,Dish with the arms of the Victor and Van Overstraten family,c. 1775 - c. 1799,porcelain,"Schotel van porselein met gelobde rand, beschilderd op het glazuur in blauw, rood, roze, groen, paars, zwart en goud. Op het plat het wapen van de families Victor en Van Overstraten. Het wapen links van de familie Victor heeft een ijzerrode achtergrond met in het midden een zwarte paal en drie gouden sterren aan weerszijden. Het helmteken is een arm die een zwaard vasthoudt met een krans. Het wapen rechts van de familie Van Overstraten bestaat uit drie kruiken. Het helmteken is ook een kruik. Bij beide wapens bestaat het dekkleed uit bladranken van goud. De wapens zijn afgebeeld in ovalen, hangend aan roze linten die aan de bovenkant bijeengebonden zijn, gedecoreerd met bloemtakken. Op de wand een kettingpatroon in goud. Op de rand een band van bamboe en bloemen en een schakelpatroon in goud. Enkele chips in de rand. Wapenporselein met emailkleuren."
中国,阿姆斯特丹国立博物馆,https://www.rijksmuseum.nl//en/collection/AK-NM-6732-B,https://lh3.ggpht.com/brgHwjZU5noiQOknvSeP7O3loNLGLmzFXE_RiaBJ1yjIWhQTcr6oRdrsC86G3x06We4ujISLk0KnUlRheUrINXnsMuM=w200,height  18.8 cm,Pear-shaped bottle vase with auspicious symbols and petal borders,c. 1680 - c. 1720,porcelain,"Flesvormige vaas van porselein met een peervormig lichaam en naar boven toe uitlopende nek, beschilderd in onderglazuur blauw. Op de buik gelukssymbolen: antiquiteiten (driepoot, wierookbrander, schilderijrol met prunustak, bloemenvaas met chrysant, boek, draak etc.). Op de schouder en de buitenrand een band met ranken. Op de hals een band met opstaande en één met afhangende, puntige bladmotieven. Een barst in de rand. Blauw-wit."
中国,阿姆斯特丹国立博物馆,https://www.rijksmuseum.nl//en/collection/BK-2008-176-B,https://lh6.ggpht.com/-6a13mhR81rUn4ZNjzaSnI5Rj7bfwT9T15t1X3e4gT8LuoWaL6cQnrfPNpjCGyR_R5xvSDpcJo8lg29Z_4T585zEpQ=w200,,Stola van geel zijdesatijn met borduurwerk,c. 1750 and/or c. 1800 - c. 1849,silk,Stola van geel zijdesatijn met borduurwerk in zijde en in hoogreliëf met goud- en zilverdraad met voorstelling van Grieks kruis. Stola maakt onderdeel uit van een stel (BK-2008-176-A t/m E).
中国,阿姆斯特丹国立博物馆,https://www.rijksmuseum.nl//en/collection/AK-TN-2378,https://lh3.ggpht.com/brgHwjZU5noiQOknvSeP7O3loNLGLmzFXE_RiaBJ1yjIWhQTcr6oRdrsC86G3x06We4ujISLk0KnUlRheUrINXnsMuM=w200,height  5 cm,Klapmuts bowl with flowering plants,c. 1600 - c. 1624,porcelain (material),"Klapmuts kom van porselein met een geschulpte rand, beschilderd in onderglazuur blauw. Op de bodem bloeiende planten (chrysant) bij een rots met daarboven wolken. De binnenwand is verdeeld in vier brede vakken met een perzik- of bloemtak in een geschulpt cartouche; daartussen vier smalle vakken met strikken. De binnenrand met dezelfde cartouches op servetwerk; de smalle vakken met een ruyi-motief. De buitenrand met drie bloemranken; de buitenwand met vier medaillons met stippen en vier smalle vakken. Enkele chips in de rand. Kraakporselein in blauw-wit."
中国,阿姆斯特丹国立博物馆,https://www.rijksmuseum.nl//en/collection/AK-RAK-2005-1-18,https://lh3.ggpht.com/m4QGlaOGAOwBWkJV7taLFW1932JvNkriLk-fhe-63BDabK0Qp617Xcx4f4qIEUSL99FNH19c3_sNu3fZJCy-KY0rtQo=w200,height  3.9 cm,Bell-shaped cup from the 'Swellengrebel service' with a double crowned monogram and a border with floral scrolls,c. 1740,porcelain,"Klokvormige kop van porselein, beschilderd op het glazuur in blauw, rood, roze, groen, geel, zwart en goud. Op de buitenwand een gekroond, dubbel spiegelmonogram met 'MVA' en 'CHTD' omgeven door schelpmotieven, krulwerk en bloemtakken, de andere zijde met een lotusrank; de binnenrand met een band met bloemranken; op de bodem een bloemrozet. Europese voorstelling in emailkleuren."
