artifactName,artifactName1,country,material,material1,library,library1,size,size1,description,description1,moreUrl,imageUrl
Etui,有利条件,中国,Holz,木材,Ethnologisches Museum,民族博物馆,"Länge: 11,2 cm,Breite: 21 cm","长：11,2厘米，宽：21厘米",Holzetui mit 7 Akupunkturnadeln.,装有七根针灸针的木箱。,https://id.smb.museum/object/137367/etui,https://recherche.smb.museum/images/59/598521_1200x1200.jpg
Akupressurstift,Akupressurstift,中国,Holz,木材,Ethnologisches Museum,民族博物馆,"Länge: 9,2 cm",长度：9.2厘米,,,https://id.smb.museum/object/137354/akupressurstift,https://recherche.smb.museum/images/86/868088_1200x1200.jpg
Pinselbehälter,刷子容器,中国,Holz; Technik (lackiert),木材工艺（涂漆）,Ethnologisches Museum,民族博物馆,"Höhe: 15,2 cm,Durchmesser: 8,5 cm",高：15.2厘米，直径：8.5厘米,,,https://id.smb.museum/object/138139/pinselbehalter,https://recherche.smb.museum/images/17/1737_1200x1200.jpg
"""Akupunkturtafel (?)"": 明堂圖 Cangfu (??) mingtang tu.",“Akupunkturtafel（？）”：[UNK]在那一周。,中国,Papier,帕皮尔,Ethnologisches Museum,民族博物馆,"Bildmaß: 60 x 22,7 cm,Blattmaß: 92,0 x 29,7 cm,Durchmesser: 5,5 cm (gerollt)",图片尺寸：60 x 22.7厘米，纸张尺寸：92.0 x 29.7厘米，直径：5.5厘米（卷制）,"Rollbild als Akupunkturtafel: Linkeseite.

Zitate aus dem Huang Di Neijing",滚动图像作为针灸板：左侧。,https://id.smb.museum/object/137514/akupunkturtafel--%E6%98%8E%E5%A0%82%E5%9C%96-cangfu--mingtang-tu,https://recherche.smb.museum/images/74/748028_1200x1200.jpg
"""Landschaft""",景观,中国,"Porzellan, Malerei in Unterlasur",瓷器，釉下绘画,Ethnologisches Museum,民族博物馆,"Höhe: 11,8 cm,Durchmesser: 9 cm","高：11,8厘米，直径：9厘米",Gefäß in Form eines Tintenfaßes mit Landschaftsmotiv.,带有风景图案的墨水井形状的花瓶。,https://id.smb.museum/object/136795/landschaft,https://recherche.smb.museum/images/86/862841_1200x1200.jpg
Arzneimittelbehältnis in Form einer Kalebasse,葫芦形状的药品容器,中国,Porzellan,波尔泽兰,Ethnologisches Museum,民族博物馆,"Höhe: 6,6 cm,Durchmesser: 3,6 cm","高：6,6厘米，直径：3,6厘米",Arznei Abgabegefäß in Form einer Kalebasse blaue Landschaft auf grau.,配药器皿呈葫芦状，呈蓝色，呈灰色。,https://id.smb.museum/object/136936/arzneimittelbehaltnis-in-form-einer-kalebasse,https://recherche.smb.museum/images/86/862755_1200x1200.jpg
"""Akupunkturtafel"": 側人明堂圖 Ce ren mintang tu",“Akupunkturtafel”：侧人明堂图Ce ren mintang tu,中国,Papier,帕皮尔,Ethnologisches Museum,民族博物馆,"Bildmaß: 60 x 22,7 cm,Blattmaß: 92,0 x 29,7 cm,Durchmesser: 5,5 cm (gerollt)",图片尺寸：60 x 22.7厘米，纸张尺寸：92.0 x 29.7厘米，直径：5.5厘米（卷制）,"Rollbild als Akupunkturtafel: Rechte seite.
 Zitate aus dem Huang Di Neijing",滚动图像作为针灸板：右侧。,https://id.smb.museum/object/137515/akupunkturtafel-%E5%81%B4%E4%BA%BA%E6%98%8E%E5%A0%82%E5%9C%96-ce-ren-mintang-tu,https://recherche.smb.museum/images/74/748029_1200x1200.jpg
Milarepa,米拉雷帕,中国,Temperamalerei auf Textil,纺织品上的Tempera绘画,Ethnologisches Museum,民族博物馆,"Bildmaß: 83,8 x 54,8 cm,Blattmaß: 161,0 x 82,9 cm,Höhe x Breite x Tiefe: 161,3 x 92 x 3,3 cm (gesamt),Höhe x Breite x Tiefe: 10,5 x 11,4 x 97,5 cm (Lagermaß),Gewicht: 0,81 kg",图片尺寸：83.8 x 54.8 cm，纸张尺寸：161.0 x 82.9 cm，高x宽x深：161.3 x 92 x 3.3 cm（总计），高x宽度x深：10.5 x 11.4 x 97.5 cm（承重尺寸），重量：0.81 kg,"Ein Thangkha (tibetisches Rollbild) mit Darstellung von Milarepa. Milarepa (1040-1123) gilt als einer der bedeutendsten Yogis und Dichter Tibets. Besonders berühmt sind seine Hunderttausend Gesänge, auch als vajra-Lieder bekannt, in denen er sein Erleuchtungswissen dichterisch darlegt. Milarepa ist eine zentrale Figur der Kagyü-Schule des tibetischen Buddhismus. Hier werden Szenen und bedeutende Personen aus seinem Leben gezeigt.

Thangkas sind kultisch-religiöse Rollbilder, die im tibetischen Buddhismus Verwendung finden. Sie werden überwiegend zur Meditation oder Erläuterung der buddhistischen Lehre in Tempeln oder Hausaltären aufgehängt. Dargestellt werden Buddhas, Bodhisattvas (erbarmungsvolle Helfer), Schutzgottheiten, die 16 oder 18 Arhats (buddhistische Heilige) und verschiedene Lamas, Asketen, Pandits (religiöse Gelehrte), Szenen aus dem Leben Buddhas und/oder buddhistische Symbole wie das Mandala. SM8HF",一幅以米拉日巴为代表的唐卡（藏文卷轴）。米拉日巴（1040-1123）被认为是西藏最重要的瑜伽士和诗人之一。尤其著名的是他的《十万首歌》，也被称为金刚歌，他在这首歌中诗意地呈现了他的启蒙知识。米拉日巴是藏传佛教噶举派的核心人物。这里展示了他生活中的场景和重要人物。,https://id.smb.museum/object/136626/milarepa,https://recherche.smb.museum/images/58/5843225_1200x1200.jpg
Ginsengwurzel,人参根,中国,Ginsengwurzel in Alkohol,人参醇根,Ethnologisches Museum,民族博物馆,"Höhe x Durchmesser: Behälter: 69 x 20 cm,Gewicht: ca. 15,4 kg",高度x直径：容器：69 x 20厘米，重量：约15.4公斤,,,https://id.smb.museum/object/138287/ginsengwurzel,https://recherche.smb.museum/images/59/598572_1200x1200.jpg
Zivilbeamter IX. Klasse,公务员九级,中国,Material: Textil,材料：Textil,Ethnologisches Museum,民族博物馆,"Höhe x Breite: 29,5 x 28,5 cm",高x宽：29.5 x 28.5厘米,,,https://id.smb.museum/object/146845/zivilbeamter-ix--klasse,https://recherche.smb.museum/images/48/4832988_1200x1200.jpg
