artifactName,country,relicTime,material,library,size,description,moreUrl,imageUrl
Leihgabe der Ente,中国,Qing (Mandschu) –Dynastie (Ende),"Papier mit Japanpapier kaschiert, Tusche, Farben",Ethnologisches Museum,"Blattmaß: 25,5 x 14,5 cm,Passepartout: 38 x 29 cm",,https://id.smb.museum/object/146971/leihgabe-der-ente,https://recherche.smb.museum/images/64/6463599_1200x1200.jpg
Opiumlampe,中国,Ende 19. Jh.,Messing; Glas,Ethnologisches Museum,"Objektmaß: 7,5 x 6 x 6 cm","Zur Grundausstattung des Opiumrauchens gehört die Opiumpfeife, eine Nadel und eine Opiumlampe. Aufgrund ihrer Bauweise benötigte die Opiumpfeife eine Opiumlampe, um zu funktionieren. Die Lampe war ebenso hochspezialisiert wie die Pfeife und diente dazu, die erforderliche Wärmemenge auf den Pfeifenkopf zu leiten, damit das Opium verdampfte und der Raucher die Dämpfe einatmen konnte. Diese Opiumlampe besteht aus Messing und Glas.",https://id.smb.museum/object/140642/opiumlampe,https://recherche.smb.museum/images/56/5669072_1200x1200.jpg
Lotosschuh,中国,19. Jh. (2. Hälfte des),"Seide, Baumwolle",Ethnologisches Museum,"Höhe: 7,5 cm,Länge: 12,5 cm",,https://id.smb.museum/object/136411/lotosschuh,https://recherche.smb.museum/images/17/1703764_1200x1200.jpg
Frauenschuh,中国,Qing (Mandschu) –Dynastie (Mitte),Textil; Holz; Leder; Metallnägel,Ethnologisches Museum,"Höhe: 8,5 cm,Länge: 13,5 cm",,https://id.smb.museum/object/147209/frauenschuh,https://recherche.smb.museum/images/57/573437_1200x1200.jpg
Hofschuhe einer Dienerin (?),中国,Qing (Mandschu) –Dynastie (Ende),"Seide, Baumwolle",Ethnologisches Museum,"Höhe: 15,5 cm,Länge: 22 cm",1 Paar Mandschu-Schuhe.,https://id.smb.museum/object/147714/hofschuhe-einer-dienerin,https://recherche.smb.museum/images/17/1701567_1200x1200.jpg
Schuhpaar einer jungen Frau,中国,20. Jh.(1. Hälfte des),"Seide, Baumwolle",Ethnologisches Museum,"Länge: 18 cm,Höhe: 5 cm",1 Paar Damenschuhe.,https://id.smb.museum/object/147715/schuhpaar-einer-jungen-frau,https://recherche.smb.museum/images/17/1701584_1200x1200.jpg
Laozi auf einem Büffel reitend,中国,19. Jh.,Bronze,Ethnologisches Museum,"Objektmaß: 40 x 31,5 x 16 cm,Gewicht: 4,8 kg","Laotse, aus Bronze, zweiteilig. Bärtiger Greis mit überhöhtem Kopf, sitzt mit aufgestütztem rechten Bein quer auf einem schreitendenden Wasserbüffel. In der Rechten hält er eine Schriftrolle. Figur und Büffel sind hohl, die Figur ist abnehmbar. Der Büffel ist auf einen ovalen Bronzeuntersatz montiert",https://id.smb.museum/object/146950/laozi-auf-einem-buffel-reitend,https://recherche.smb.museum/images/49/498228_1200x1200.jpg
Schröpfkopf,中国,,Bambus,Ethnologisches Museum,"Höhe x Durchmesser: 10 x 8,5 cm,Gewicht: 108 g",,https://id.smb.museum/object/137542/schropfkopf,https://recherche.smb.museum/images/86/865106_1200x1200.jpg
Szene aus dem Theaterstück  十字坡 Shizi po (Der Ort oder Abhang S.),中国,,Papier,Ethnologisches Museum,"Blattmaß: 19,8 x 20,0 cm",Szene aus dem Theaterstück: Der Ort 十字坡  Shizupo oder der Shizi Abhang.,https://id.smb.museum/object/139769/szene-aus-dem-theaterstuck--%E5%8D%81%E5%AD%97%E5%9D%A1-shizi-po-der-ort-oder-abhang-s,https://recherche.smb.museum/images/15/1577481_1200x1200.jpg
Malanleitung: der Senfkorngarten,中国,,Papier,Ethnologisches Museum,"Objektmaß: H: 20,4 cm B: 14 cm","12 Hefte (6 Bände)in 2 Kassetten.
Heft 1-6 Leihgabe (a), Heft 7-12 am Standort (b)",https://id.smb.museum/object/140058/malanleitung-der-senfkorngarten,https://recherche.smb.museum/images/59/598045_1200x1200.jpg
