country,library,link,imageurl,size,artifactName,relicTime,material,description
中国,阿姆斯特丹国立博物馆,https://www.rijksmuseum.nl//en/collection/AK-RAK-1990-10,https://lh3.googleusercontent.com/JBnE7YPd8DJRW6ZhUTiH_Us8RoJmevR4Ao1Y0dM_6HFbDnmIWd5BerSuxmQuwJ1AnenJMd-BhfN64VGicEizl4dcufBfGPQz3nWd15cw=w1000,,Albumblad,1675 - 1700,paper,Albumblad met een landschap en architectuur.
中国,阿姆斯特丹国立博物馆,https://www.rijksmuseum.nl//en/collection/AK-MAK-105,https://lh5.ggpht.com/Ahv11eDX3tkXcv_UK0PVh7j2DJ0CdF7xZtscsa1bQi4zEvrsKN6ZA-b0kzFKinGElEvQx0ghTB4aocyOVOHHVGTRYOE=w1000,height  7.1 cm,Teabowl with a 'hare's fur' glaze,c. 960 - c. 1279,stoneware,"Theekom van steengoed, gedeeltelijk bedekt met een zwart glazuur met goudbruine strepen (hazenvel). De onderste helft van de kom is ongeglazuurd. De rand is gevat in een metalen band. Jian."
中国,阿姆斯特丹国立博物馆,https://www.rijksmuseum.nl//en/collection/AK-MAK-290-F,https://lh3.googleusercontent.com/P0JycHIzQI4pf6NHdGvw_NKIo9zOQjXdmk19-3fN1CD1dc2KyqN9EgO-P8XAEA29SHZxcc63nc4AJC-vzkRzha3WE4m7=w1000,,Schildering,1700 - 1750,paper,"Eén van twaalf landschappen, vingerschildering met opschrift van de schilder Gao Qipei (1662 - 1731(?)). Opmerking: Zie inv. nr. AK-MAK-290."
中国,阿姆斯特丹国立博物馆,https://www.rijksmuseum.nl//en/collection/AK-MAK-544,https://lh3.googleusercontent.com/ridCPiBDIWo1Z-_skTvfCXci600vKfgAz5R6bFwronXipnJDMeOuDi94_f5IkMBIkLGpZq-3oFmZRzj2vhUziIUwK8I=w1000,height  5.5 cm,Teabowl with a 'hare's fur' glaze,c. 960 - c. 1279,stoneware,"Theekom van steengoed, gedeeltelijk bedekt met een zwart glazuur met goudbruine strepen (hazenvel). De onderste helft van de kom is ongeglazuurd. De rand is gevat in een metalen band. Jian."
中国,阿姆斯特丹国立博物馆,https://www.rijksmuseum.nl//en/collection/AK-MAK-100,https://lh5.ggpht.com/0fCHLVO80B4OBMOwOjceOwGveWg43t4Y-jfdNb46opP_yg_qBs7QYY2_QArWqYxj788xPBeCHBy9OxQt3CzYoNRwQkY=w1000,height  13.2 cm,Jar with tigers and floral scrolls in relief,c. -200 - c. 200,earthenware,"Eivormige pot van aardewerk, bedekt met een groen glazuur. Op de schouder een band met bloemranken onderbroken door vijf rennende tijgers."
中国,阿姆斯特丹国立博物馆,https://www.rijksmuseum.nl//en/collection/AK-BR-FLA-4-B,https://lh3.googleusercontent.com/_DBa0zX8Vx1t8IA2oOyOnWito00trZIY7XabnX8QyKG3VSsTvNuc8hq9jyoNgPz--O9z-L71QQ-vWnQOwoDtUYjBRWkc=w1000,height  18.3 cm × width  6.6 cm × depth  6.5 cm,Tomb figure of a standing person,c. 220 - c. 589,earthenware,"Graffiguur van aardewerk met resten van beschildering in rood, wit en zwart. De staande figuur heeft een plat kapsel; de linkerhand uitgestrekt met de palm naar boven en de rechterhand ter hoogte van de borst tot een vuist gebald. De rechterarm mist de wijde mouw."
中国,阿姆斯特丹国立博物馆,https://www.rijksmuseum.nl//en/collection/AK-MAK-602,https://lh3.ggpht.com/MlmLjBgCbqTXcrYUuzXae4skPXmN4U2aFz72PBZGdElh8Zbu7MKH09R11PRJKI36beV7v3vKDN6k63c9oTpIFkDZPqz9=w1000,height  5.8 cm,Jar with a green glaze,c. 1368 - c. 1644,stoneware,"Pot van steengoed met een bolvormig lichaam en korte nek, bedekt met een donkergroen, gecraqueleerd glazuur. Een chip in de rand gerestaureerd en verguld. Celadon."
中国,阿姆斯特丹国立博物馆,https://www.rijksmuseum.nl//en/collection/AK-MAK-1273,https://lh3.googleusercontent.com/yMVFkHCShvUjet_jxk9XU5KPIwsBP0d3KImNoEKToXf_gue2tv-MaIbHNS5yyg7OrsONKaX9Ezlgwk_SjnuZNRAiUZU=w1000,height  3.9 cm,Dish with a lavender blue glaze,c. 960 - c. 1279,stoneware,"Schaal van steengoed, bedekt met een lavendelblauw, licht gecraqueleerd glazuur. Naar de rand verandert de kleur naar een geelbruine tint. Jun."
中国,阿姆斯特丹国立博物馆,https://www.rijksmuseum.nl//en/collection/AK-MAK-495,https://lh3.googleusercontent.com/4KqQ1nUpaoS0ufGhxF21T8UKK11rtJmHVEeL2w3PQ3Lgufghy28n_jz8bRVd50O8Glb8daUrzZfP239QAfFaeleWHwkg=w1000,,Rituele plengbeker,c. -1300 - c. -800,bronze (metal),Rituele plengbeker versierd met taotie en leiwen.
中国,阿姆斯特丹国立博物馆,https://www.rijksmuseum.nl//en/collection/AK-MAK-498,https://lh3.googleusercontent.com/wGKqluX-ESVttI0-iDt9Pb3yO1CENR1o2CmKRlm-_1bmUPatoRlwcPOYuTlQJrxtcMATDbCnIhDyNH3OTTaR9h9lH0E=w1000,height  10.8 cm × width  5.6 cm × depth  4.4 cm,Figure of Guanyin,1050 - 1200,bronze (metal),"Avalokitesvara (Guanyin), zittend met in de linkerhand een wensjuweel en met de rechter een gebaar van zegening makend."
