artifactName,country,library,relicTime,material,moreUrl,imageUrl,size,description
夔龙纹觚,中国,山西博物馆,西周,铜,https://www.shanximuseum.com/cms/a/950.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/12/s5c10cf3ae353b.jpg,高30厘米，口径17厘米,"2006年绛县横水墓地出土,器体呈天圆地方形，敞口，长颈，直腹，方足外撇，边沿加厚，四周出扉棱，颈部饰蕉叶形兽面纹，下饰凤鸟纹，腹部饰兽面纹，方足饰兽面纹，上方有凤鸟纹，整体均以云雷纹为地。方足内有九字铭文和族徽。"
人物动物纹鎏金银高足杯,中国,山西博物馆,北魏,鎏金,https://www.shanximuseum.com/cms/a/912.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/12/s5c10a06bc9b67_1336_748_84_0.jpg,高10.3厘米，口径9.4厘米。1970年大同市南郊出土。银质，鎏金。杯敞口，微束颈，深鼓腹，高足。人物和动物均为高浮雕，杯口雕相对而卧的8只鹿，杯身雕女性手持器物。间饰以浅刻“阿堪突斯”叶纹，叶上承托高浮雕男性头像。属于波斯萨珊王朝饮器，是一件舶来品。,
夔凤纹鉴,中国,山西博物馆,春秋,铜,https://www.shanximuseum.com/cms/a/951.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/12/s5c10b8011e804_1336_748_132_0.jpg,通高42.4厘米，口径70.6厘米,"1988年太原市金胜村赵卿墓出土,一组四件，形制、大小、纹样皆相同，此为其中一件。大敞口，沿平折，颈微敛，宽肩，曲壁，腹内收成弧形，平底，矮圈足。附有对称的四耳，铺首衔环。铺首为立雕的兽头，扁平圆环。铺首饰云纹、回纹、瓦纹。颈部和下腹部饰夔凤纹带，夔凤正反交织成方形几何纹图案。上腹部饰饕餮纹带。"
夔龙纹舟,中国,山西博物馆,春秋,铜,https://www.shanximuseum.com/cms/a/954.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/12/s5c10b96e33652_1336_748_135_0.jpg,高8.7厘米，口径最大径19.2厘米,"1988年太原市金胜村赵卿墓出土,椭圆形，束颈，厚唇微敛，腹略鼓，小圜底，下接圈足。腹壁有一对环形耳，腹部饰宽、窄两周细夔龙纹，龙互相缠合。下腹部有垂叶纹，垂叶内用相向夔龙做填纹。上下纹带间以凸弦纹为界纹，上刻勾云纹。舟为饮酒器，是春秋中期以后出现的新器形。"
娄睿墓壁画,中国,山西博物馆,北齐,石,https://www.shanximuseum.com/cms/a/915.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/12/s5c10a393eb171_1336_748_115_0.jpg,现存200余平方米，1979年至1981年挖掘。分为两大部分。一部分是墓道全部、天井中下栏、甬道和墓室下栏，描绘墓主人生前生活的显赫场面；一部分是墓门、甬道和天井上栏、墓室顶部和上中栏，描绘墓主人死后飞升的空幻境界。其中“出行图”保存较好，人物主次分明，马匹神态各异，充满写实风格。娄睿墓壁画气势磅礴、技艺精妙，代表了北朝绘画的最高水平。,
莲盖夔龙纹方壶 ,中国,山西博物馆,春秋,铜,https://www.shanximuseum.com/cms/a/952.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/12/s5c10cdfed01e9.jpg,通高66.7厘米，口径23.4厘米，最大腹径35.6厘米，圈足径25.8厘米,"1988年太原市金胜村赵卿墓出土,一组四件，形制、大小、纹样皆相同，此为其中一件。长方形华盖，中空，有一周凹槽，四周八片镂空外侈的莲花瓣，呈波浪式，每片莲花瓣内饰两条夔龙。子口可插入壶口。壶体母口，厚唇内敛，承接华盖。修长束颈方筒。颈两侧有一对壮硕的兽形耳。兽回首卷尾，蹲立，眉目清秀，卷鼻，獠牙。肩外弧起棱，鼓腹，腹最大径接近壶底，圜形底。喇叭形方座，圈足。"
夔凤纹罍 ,中国,山西博物馆,春秋,铜,https://www.shanximuseum.com/cms/a/953.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/12/s5c10b8f8df971_1336_748_91_0.jpg,通高36.3厘米，最大径37.8厘米,"1988年太原市金胜村赵卿墓出土,方唇外侈，小口，束颈，溜肩，圆腹，下腹内收成平底。肩部两对对称的铺首衔环，大小不一。自器口至下腹部以绹索纹带为界分别装饰斜三角回纹、夔凤纹、蟠螭纹、窃曲纹和垂叶纹。器型端庄，纹饰采用高浮雕形式构图，清晰美观。为晋国青铜器上乘之作。"
玻璃碗,中国,山西博物馆,北魏,玻璃,https://www.shanximuseum.com/cms/a/914.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/12/s5c10dccd37530_1336_748_98_0.jpg,高7.5厘米，口径10.3厘米。1988年大同市南郊出土。波斯萨珊王朝饮器。外壁磨饰出纵横排列有序的椭圆形凹面，圜底，饰7个较大的圆形凹面。,
八曲银洗,中国,山西博物馆,北魏,银,https://www.shanximuseum.com/cms/a/913.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/12/s5c10a2b23de5f_1336_748_121_0.jpg,高4.5厘米，最宽23.8厘米。1970年山西大同南郊出土。饮食器，来自大夏（今阿富汗），八曲花口式杯口，圈足亦为花瓣形，器内雕摩羯相搏图，外壁有大夏文铭文，现仅可释读“XOSO拥有”若干字。5至6世纪大夏银器在国内极少见，其风格直接影响了唐代的金银器。,
张瑞图 行书七绝诗,中国,山西博物馆,明,纸,https://www.shanximuseum.com/cms/a/868.html,https://www.shanximuseum.com/sxo/Uploads/Picture/2018/12/13/s5c11c1bd2224e.jpg,纸本。纵189厘米，横65.5厘米。,"写七言绝句一首：“广陵三月花正开，花庭逢君醉一回，南北相过殊不远，暮潮归去早潮来。瑞图。”钤“张长公”、“张瑞图”二印。用笔取势方折，刚劲有力，自具面貌。,张瑞图（？～1644年），字长公，号二水，福建晋江人。擅长草书，在师法钟王的基础上，另辟蹊径，用笔多方硬侧锋，风格奇宕，自成一格。"
